Year,Lobbyist Name,Principal,Lobbyist’s Firm,Additional Lobbyists,Lobbying Matter,First Half (Jan1 – June 30),Second Half (July1 – DEC 31),Reference URL for First Half,Reference URL for Second Half
2016,Emily J. Vaias,Toll Brothers City Living,Ballard Spahr LLP,,Bethesda Master Plan,510.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=667,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=667
2015,Ellen Coren Bogage,Airbus DS Communications,Chesapeake Public Strategies,,Matters related to procurement of public safety communications services,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=438,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=438
2014,"Stephen J. Orens, Esq.",Amir Afkhami,Miles & Stockbridge,,Zoining Ordinance Revision,960.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=282,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=282
2024,Steve Silverman,Southern Management Corp,"SSGOVRELATIONS,LLC",,Real estate matters,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2974,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2974
2015,Nicola Y.Whiteman,Apartment & Office Building Association,Apartment & Office Building Association,,Real Estate & Utility Issues,57452.00,48390.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=370,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=370
2014,Charles Washington,Potomac Electric Power Company,Potomac Electric Power Company,"Jerry Pasternak, Tami Watkins",Any and all matters pertaining to an electric utility.,180.00,119.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=187,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=187
2022,Devorah Stavisky,Jews United for Justice,Jews United for Justice,,"Various bills and county policies related to social, racial, and economic justice, especially focused on matters related to policing and police in schools and rights and protections for renters and workers.",4633.00,806.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2725,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2725
2023,Steve Silverman,Buchanan Partners,"SSGOVRELATIONS,LLC",,Real estate matters,12500.00,12500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2774,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2774
2015,Emily J. Vaias,"Abraham Morrison Memorial, LLC",Linowes and Blocher LLP,Samantha Mazo,Downtown Bethesda Sector Plan,9350.00,1250.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=401,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=401
2015,Emily J. Vaias,Brookfield Washington LLC,Linowes and Blocher LLP,Samantha Mazo,Water/Sewer Category,11463.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=515,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=515
2015,Peter A Tomao,Coalition for Smarter Growth,Coalition for Smarter Growth,,"Transit issues and smart growth in Montgomery County. Bill 19-15, ITA, BRT, MC24-15",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=545,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=545
2013,Steven A. Robins,Davis Brothers Montgomery Farm Limited Partnership,"Lerch, Early & Brewer, Chartered",,Matters related to Rock Spring Center in North Bethesda; proposed legislation related to Adequate Public Facilities and premlinary plan - Validity period; issues and legislation related to impact taxes and fees.,1440.00,1240.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=55,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=55
2024,Christopher M. Ruhlen,"Ralph J. Duffie, Inc.","Lerch, Early & Brewer, Chtd.",,"Matters related to the 2024-2028 Growth and Infrastructure Policy and Bill 16-24, Development Impact Tax � Amendments.",0.00,4797.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=3024,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=3024
2024,Ron Halber,JCRC of Greater Washington,JCRC of Greater Washington,,Matters related to the Jewish Community,739.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2892,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2892
2018,Zachary Gerdes,Sierra Club Maryland Chapter,Sierra Club Maryland Chapter,,Bill: Amendments to the FY19-24 Capital Improvements Program. Council Resolutions on a special appropriation that would reduce funding levels in SM Design/Build/Maintain Contract (No. 801901),1087.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2127,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2127
2015,Robert R. Harris,Elm Street Development,"Lerch, Early & Brewer, Chtd.",,Land use approvals,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=418,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=418
2019,Camille Fesche,Optotraffic,Rifkin Weiner Livingston LLC,,Assist client with speed monitoring and red light systems in Montgomery County.,1625.00,1500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2252,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2252
2016,Barbara A. Sears,Bethmont LLC,Linowes and Blocher LLP,,Bethesda Property,0.00,1020.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=768,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=768
2017,Ellen Valentino-Benitez,Ellen Valentino-Benitez,VBA,,Bill 1-17,1000.00,5000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=931,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=931
2025,Alberto Zegada,"Pepco Holdings, Inc.","Pepco Holdings, Inc.",,All matters affecting the energy and utility industry.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=3096,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=3096
2019,Stacy P. Silber,"Moonlight, Inc.","Lerch, Early & Brewer, Chtd.",,Zoning and general land use matters.,9500.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2172,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2172
2016,C. Robert Dalrymple,Halpine Park LLC,Linowes and Blocher LLP,Payman Tehrani,Minor Master Plan Amendments and Aspen Hill Master Plan,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=637,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=637
2023,Steve Silverman,"Westfield Property Management,LLC",SSGOVRELATIONS LLC,,Real estate matters,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2796,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2796
2015,Moira Moynihan,"Xerox Business Services, LLC and its Affiliates","Alexander & Cleaver, P.A.",,"Legislative and executive branch procurement of photo enforcement and citation processing, and procurement issues on technology, services to the Comptroller, Court System and other agencies.",0.00,500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=387,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=387
2020,Roger P Manno,Eastern Atlantic States Regional Council of Carpen,Manno & Associates LLC,,"Matters generally relating to union construction contracting, prevailing wages, project labor agreements, workplace fraud, wage theft, misclassification, etc.",0.00,3625.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2423,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2423
2015,"David D. Freishtat, Esquire","Lindsay Management, Inc.","Shulman, Rogers, Gandal, Pordy & Ecker, P.A.","Larry A. Gordon, Esquire",Zoning and Land Use.,41069.00,17618.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=349,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=349
2016,Robert R. Harris,Johnson Family Properties,"Lerch, Early & Brewer, Chtd.",,Annexation of property into the City of Gaithersburg.,780.00,2467.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=677,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=677
2017,Brigid Nuta Howe,Nonprofit Montgomery,Nonprofit Montgomery,,Issues concerning nonprofits in Montgomery County and the residents they serve.,9391.00,3798.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=935,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=935
2021,Lawrence A. Shulman,"Montgomery County Independent Haulers Association,","Shulman, Rogers, Gandal, Pordy & Ecker, P.A.",,Discussions with the County Council concerning Trash and Recycling Collection: An Evaluation of Current Policies (OLO Report 2019-17); and Submission by a group of residents living in the Briardale subdivision to join Trash & Recycling District A.,3319.00,1512.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2440,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2440
2019,Richard Rothrock,Crown Castle,Communications Infrastructure,,Issues relating to the deployment and siting of communications infrastructure in the County's right-of-way.,0.00,2596.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2272,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2272
2016,Steven A. Robins,"Peel Properties, LLC","Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,1628.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=589,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=589
2018,Amirali Nasserian,"Westfield, LLC","Westfield, LLC",,"Wheaton mall development projects.,Montgomery mall development projects.",3363.00,2625.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2108,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2108
2022,Barbara Sears,"Colesville Joint Venture, LLP",Miles & Stockbridge P.C.,,Fenton Street Property,5354.00,726.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2688,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2688
2020,David Hicks,"Salient Capital Advisors, LLC","Salient Capital Advisors, LLC","Greg Reid, Ted Gardner",The principal and registered lobbyists provide investment advisory services.,1500.00,1500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2306,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2306
2013,William Kominers,"QIAGEN, Inc.","Lerch, Early & Brewer, Chartered",,Subdivision Regulation Amendment SRA No. 13-01.,2500.00,6193.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=94,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=94
2014,Robert J. Garagiola,Business Health Services,"Alexander & Cleaver, P.A.",,City and State procurement.,0.00,625.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=273,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=273
2014,Anne M. Mead,C&G Associates,Linowes and Blocher LLP,,Downtown Bethesda Plan and Zoning Rewrite.,7278.00,3690.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=219,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=219
2013,Barbara A. Sears,The Johns Hopkins University,Linowes and Blocher LLP,Yum Yu Cheng,"Belward Research Campus,Montgomery County Campus",15592.00,11784.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=107,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=107
2024,Laura Wallace,Jews United for Justice,Jews United for Justice,,"Various bills, budget items, and county policies related to social, racial, and economic justice, especially focused on matters related to policing and police in schools and rights and protections for renters and workers.",4562.00,3709.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2925,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2925
2022,Barbara Sears,Bethesda Land LLC,Miles & Stockbridge P.C.,,Bethesda Property,1032.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2693,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2693
2024,Steve silverman,"Wisconsin Columbia Venture,LLV","SSGOVRELATIONS,LLC",,Real estate matters,12500.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2943,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2943
2014,Laurence Levitan,Martin's Caterers,"Rifkin, Weiner, Livingston, Levitan & Silver, LLC",,To preserve and protect the client's interests in regard to opening a Martin's in Montgomery County.,5125.00,7625.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=263,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=263
2016,Moira Moynihan,Dart Container Corporation,"Alexander & Cleaver, P.A.",,Regulation and laws regarding food and drink containers.,0.00,375.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=607,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=607
2023,Elizabeth Pujolas,"Horizon Therapeutics USA, Inc.","Horizon Therapeutics USA, Inc.",,"Matters affecting Horizon Therapeutics USA, Inc. and the pharmaceutical industry.",11520.00,5760.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2751,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2751
2024,Gerard Evans,"Motorola Solutions, Inc.","Evans & Associates, LLC",Hayley Evans,"Procurement, Telecommunications, Radios, Public Safety, Surveillance, Weapons Detection",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2954,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2954
2015,"Elsie L. Reid, Esq.",Roman Catholic Archdiocese of Washington,"Furey, Doolan & Abell, LLP","Devin J. Doolan, Esq.",Monitor all issues regarding mission and operations,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=324,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=324
2023,Roger Manno,Eastern Atlantic States Regional Council of Carpen,Manno & Associates LLC,,"Matters generally relating to union construction contracting, prevailing wages, project labor agreements, workplace fraud, wage theft, misclassification, etc.",30125.00,30125.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2762,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2762
2021,David Hicks,"Salient Capital Advisors, LLC","Salient Capital Advisors, LLC","Greg Reid, Ted Gardner",The principal and registered lobbyists provide investment advisory services.,1500.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2431,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2431
2013,Scott Williamson,Communities for Transit Inc,Program Director of nonprofit public education org,"Geri Rosenberg, David Moon",Montgomery County Transit Corridors Functional Master Plan and any financial and policy issues relating to the implementation thereof.,0.00,590.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=148,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=148
2025,Ashlie Bagwell,McDonald's Corporation,"Harris Jones & Malone, LLC",,Any and all matters related to ownership and operation of restaurants,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=3081,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=3081
2022,Anthony Ruffin,"Pepco Holdings, Inc.","Pepco Holdings, Inc.",,All matters affecting the energy and utilities industries.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2589,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2589
2020,Richard Rothrock,Crown Castle,Crown Castle,,Matters relating to the deployment and siting of communications infrastructure in the County's right-of-way.,2377.00,7725.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2315,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2315
2014,Sean Malone,Silver Diner,Harris Jones & Malone LLC,,Any and all matters related to minimum wage specifically tipped wages,0.00,2500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=297,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=297
2023,Sarah Reddinger,"Habitat for Humanity Metro Maryland, Inc.","Habitat for Humanity Metro Maryland, Inc.","Jeffrey Dee, Tim Warner",Affordable Housing,1479.00,2931.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2749,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2749
2015,Steven A. Robins,"PNC Bank, NA","Lerch, Early & Brewer, Chtd.",,Bethesda Downtown Plan and zoning related issues.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=481,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=481
2025,Stephen Fluhr,"Westfield, LLC","Westfield, LLC",,Issues related to business continuity and ongoing Westfield projects.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=3075,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=3075
2016,LaTara Harris,LaTara Harris,AT&T,,All matters related to Telecommunications,0.00,3000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=553,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=553
2015,Emily J. Vaias,"St. John's Episcopal Church, Norwood Parish",Linowes and Blocher LLP,,Downtown Bethesda Sector Plan Amendment,15455.00,3625.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=397,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=397
2014,Eileen Cahill,Holy Cross Health,Holy Cross Health,,"Adocating on general health care issues and services that impact the delivery of health care including but not limited to land use/zoning, transportation, quality of life issues, etc.",1010.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=230,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=230
2016,Stacy P. Silber,"AG-TDG Cider Mill Owner, LLC","Lerch, Early & Brewer, Chtd.",,Montgomery Village Master Plan.,3922.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=661,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=661
2024,Steve silverman,"Enclave Holdings,LLC","SSGOVRELATIONS,LLC",,Real estate matters,30000.00,30000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2930,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2930
2023,Robert Garagiola,CVS Health and all affiliated subsidiaries,"Compass Government Relations Partners, LLC",,Procurement,3000.00,2500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2831,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2831
2017,Ellen Lee Coren,The Treatment and Learning Centers,Chesapeake Public Strategies,,Matters relating to Declaration of No Further Need,0.00,6500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=979,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=979
2021,Robert Garagiola,Lockheed Martin Corporation,"Compass Government Relations Partners, LLC",,"Labor & Employment Matters,Corporate governance matters,Tax matters",100.00,100.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2524,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2524
2024,Steve silverman,"Tower Construction Group,LLC","SSGOVRELATIONS,LLC",,Real estate matters,3750.00,3750.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2939,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2939
2022,Soo Lee-Cho,Travilah Oak LLC,"Bregman, Berbert, Schwartz, & Gilday, LLC",,"Requesting S-6 (multi-use onsite septic) to S-3 (public sewer) to support redevelopment of the existing shopping
center.",596.00,7608.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2706,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2706
2021,Brian Levine,Montgomery County Chamber of Commerce,Montgomery County Chamber of Commerce,,"Economic development, budget, education, transportation, business activities.",1025.00,6500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2542,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2542
2013,Nina Albert,"Wal-Mart Stores, Inc.",N/A,,All matters affecting the retail industry,260.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=23,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=23
2016,"William J. Chen, Jr.","Potomac Highlands Citizens Association, Inc., and","The Law Office of William J. Chen, Jr., LLC",,Text Amendment to the Ten-Year Water Supply and Sewerage Systems Plan: Glen Hills Area Sanitary Study.,4500.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=675,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=675
2025,steve silverman,Rockville Housing Enterprises,"SSGOVRELATIONS,LLC",,Real estate matters,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=3057,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=3057
2021,Elizabeth Pujolas,"Horizon Therapeutics USA, Inc.","Horizon Therapeutics USA, Inc.",,"Matters affecting Horizon Therapeutics USA, Inc. and the pharmaceutical industry.",0.00,11520.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2566,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2566
2021,Camille Fesche,Google LLC,Rifkin Weiner Livingston LLC,,Assist and facilitate with the pursuit of opportunities to provide communication services and work tools for Montgomery County.,625.00,1000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2468,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2468
2013,"David D. Freishtat, Esquire","Potomac Energy Holdings, LLC","Shulman, Rogers, Gandal, Pordy & Ecker, PA",,"New County Zoning Ordinance Revisions,Sectional Map Amendment for Zoning Ordinance Revisions,Glenmont Sector Plan,Land Use and Development Issues related to Filling Stations",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=104,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=104
2013,Steven A. Robins,"Chevy Chase Land Company of Montgomery County, Mar","Lerch, Early & Brewer, Chartered",,"Chevy Chase Lake Sector Plan and Development Related Matters.
Zoning Text Amendment 11-01- Commercial/Residential Zones,Subdivision Regulation Amendment/Extension legislation",27360.00,12805.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=47,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=47
2022,Andrew Nicklas,"Adventist HealthCare, Inc.","Adventist HealthCare, Inc.",,"All matters related to health care policy, health care delivery, health occupations, health care regulation, health insurance,
business and economic development, zoning, permitting, transportation, housing, and employment issues.",5000.00,5000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2585,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2585
2022,Andrea Mansfield,BMG Money,Manis Canning & Associates,,Assisting with business development activities to offer BMG Money's LoanAtWork program as a benefit to employees employed by local entities.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2669,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2669
2015,"Nancy P. Regelin, Esquire","Lois Wheaton, LLC","Shulman, Rogers, Gandal, Pordy & Ecker, P.A.","Lawrence A. Shulman, Esquire, Larry N. Gandal, Esquire",Glenmont Redevelopment,375.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=332,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=332
2014,"Timothy Dugan, Esquire",Saul Centers,"Shulman, Rogers, Gandal, Pordy & Ecker, PA",,Subdivision Staging Policy Amendment #14-02,0.00,54927.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=312,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=312
